date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:24	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2008%20Sep%202023%2013:06:24%20GMT	https://www.arkhamintelligence.com/sidetab.css	C:/My%20Web%20Sites/arkham/www.arkhamintelligence.com/sidetab.css	(from https://embed.typeform.com/next/embed.js)
15:06:24	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2008%20Sep%202023%2013:06:24%20GMT	https://www.arkhamintelligence.com/slider.css	C:/My%20Web%20Sites/arkham/www.arkhamintelligence.com/slider.css	(from https://embed.typeform.com/next/embed.js)
15:06:24	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2008%20Sep%202023%2013:06:25%20GMT	https://www.arkhamintelligence.com/widget.css	C:/My%20Web%20Sites/arkham/www.arkhamintelligence.com/widget.css	(from https://embed.typeform.com/next/embed.js)
15:06:25	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2008%20Sep%202023%2013:06:25%20GMT	https://www.arkhamintelligence.com/e	C:/My%20Web%20Sites/arkham/www.arkhamintelligence.com/e	(from https://embed.typeform.com/next/embed.js)
15:06:25	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2008%20Sep%202023%2013:06:25%20GMT	https://www.arkhamintelligence.com/window.location.href	C:/My%20Web%20Sites/arkham/www.arkhamintelligence.com/window.location.href	(from https://embed.typeform.com/next/embed.js)
15:06:26	6716/6716	---M--	200	added ('OK')	font/woff2	etag:W/%221a3c-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-mono-cyrillic-ext-400-normal.d2a15191.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-mono-cyrillic-ext-400-normal.d2a15191.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:26	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Fri,%2008%20Sep%202023%2013:06:27%20GMT	https://embed.typeform.com/next/css/	C:/My%20Web%20Sites/arkham/embed.typeform.com/next/css/index.html	(from https://embed.typeform.com/next/embed.js)
15:06:27	44840/44840	---M--	200	added ('OK')	font/woff	etag:W/%22af28-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-mono-all-400-normal.9fd1cbda.woff	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-mono-all-400-normal.9fd1cbda.woff	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:28	8128/8128	---M--	200	added ('OK')	font/woff2	etag:W/%221fc0-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-mono-cyrillic-400-normal.1cc66227.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-mono-cyrillic-400-normal.1cc66227.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:29	5212/5212	---M--	200	added ('OK')	font/woff2	etag:W/%22145c-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-mono-vietnamese-400-normal.a4b6ff95.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-mono-vietnamese-400-normal.a4b6ff95.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:29	12332/12332	---M--	200	added ('OK')	font/woff2	etag:W/%22302c-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-mono-latin-ext-400-normal.dc8f260f.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-mono-latin-ext-400-normal.dc8f260f.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:30	13656/13656	---M--	200	added ('OK')	font/woff2	etag:W/%223558-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-mono-latin-400-normal.71a5fad3.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-mono-latin-400-normal.71a5fad3.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:31	7848/7848	---M--	200	added ('OK')	font/woff2	etag:W/%221ea8-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-cyrillic-ext-400-normal.99107dbf.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-cyrillic-ext-400-normal.99107dbf.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:32	6880/6880	---M--	200	added ('OK')	font/woff	etag:W/%221ae0-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-cyrillic-ext-400-normal.533975ff.woff	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-cyrillic-ext-400-normal.533975ff.woff	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
